epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.245,1.27301,1.60855,1.24993,0.04774,0.65107,0.04859,0.02746,2.50037,inf,7.06357,0.000649123,0.000649123,0.000649123
2,48.2933,0.95997,0.89002,1.07397,0.04643,0.34236,0.02705,0.01171,2.39757,81.7371,4.96209,0.00128322,0.00128322,0.00128322
3,71.64,0.95218,0.78971,1.05098,0.53263,0.46059,0.43778,0.24983,2.26127,9.68209,3.08636,0.00188432,0.00188432,0.00188432
4,95.9617,0.92653,0.7527,1.03967,0.31618,0.45567,0.25232,0.13862,1.74902,9.64524,2.828,0.0018515,0.0018515,0.0018515
5,118.94,0.88565,0.76616,1.0407,0.60137,0.54001,0.55084,0.33866,1.74043,4.12967,2.62616,0.001802,0.001802,0.001802
6,142.79,0.84783,0.65663,1.01291,0.69138,0.48188,0.5694,0.34914,1.77225,2.60377,2.44157,0.0017525,0.0017525,0.0017525
7,166.179,0.82601,0.63057,1.00774,0.62643,0.50114,0.5674,0.36565,1.7531,2.51656,2.31472,0.001703,0.001703,0.001703
8,189.577,0.823,0.61812,1.00227,0.74478,0.60617,0.68541,0.45486,1.50036,3.27282,2.07252,0.0016535,0.0016535,0.0016535
9,212.869,0.8318,0.6563,1.01664,0.75274,0.58737,0.68791,0.44546,1.69084,2.44861,2.14548,0.001604,0.001604,0.001604
10,236.197,0.76481,0.5628,0.97923,0.7506,0.58561,0.69442,0.46627,1.50087,2.26641,2.14135,0.0015545,0.0015545,0.0015545
11,259.696,0.75876,0.55644,0.97296,0.66234,0.57977,0.61857,0.39407,1.71475,3.18021,2.23098,0.001505,0.001505,0.001505
12,282.91,0.74315,0.53161,0.96608,0.80525,0.64204,0.75622,0.51912,1.33296,1.55053,1.96191,0.0014555,0.0014555,0.0014555
13,306.558,0.72993,0.51756,0.95908,0.72369,0.69458,0.76921,0.53885,1.41969,1.52659,2.0095,0.001406,0.001406,0.001406
14,330.133,0.71065,0.49611,0.95483,0.73138,0.71264,0.78853,0.55493,1.35769,1.46278,2.02168,0.0013565,0.0013565,0.0013565
15,354.512,0.74061,0.56009,0.97953,0.75161,0.74034,0.79028,0.57141,1.28716,1.49694,1.87963,0.001307,0.001307,0.001307
16,378.206,0.69197,0.46883,0.94663,0.78017,0.70115,0.79589,0.57887,1.35673,1.62017,1.89193,0.0012575,0.0012575,0.0012575
17,401.933,0.68899,0.46416,0.93544,0.75413,0.70763,0.78398,0.56288,1.37804,1.62694,1.92688,0.001208,0.001208,0.001208
18,425.342,0.68146,0.47131,0.94376,0.7037,0.65321,0.75034,0.54548,1.2683,1.46745,1.93126,0.0011585,0.0011585,0.0011585
19,448.773,0.68434,0.47213,0.93926,0.80122,0.67652,0.78954,0.57816,1.39994,1.53391,2.02533,0.001109,0.001109,0.001109
20,472.126,0.66556,0.43873,0.922,0.78193,0.74713,0.82154,0.6077,1.13391,1.20755,1.7228,0.0010595,0.0010595,0.0010595
21,496.086,0.65123,0.4275,0.92917,0.8084,0.7734,0.85483,0.63388,1.13476,1.26289,1.67801,0.00101,0.00101,0.00101
22,519.852,0.64049,0.41402,0.91777,0.79547,0.72165,0.80074,0.6084,1.14204,1.19804,1.66733,0.0009605,0.0009605,0.0009605
23,543.315,0.65808,0.43369,0.92714,0.74597,0.67505,0.7643,0.54745,1.23966,1.39576,1.78758,0.000911,0.000911,0.000911
24,566.836,0.63506,0.42096,0.92007,0.83863,0.69549,0.83159,0.61126,1.14018,1.23392,1.68514,0.0008615,0.0008615,0.0008615
25,590.445,0.60931,0.39685,0.91088,0.81524,0.75714,0.837,0.62675,1.19569,1.26808,1.74453,0.000812,0.000812,0.000812
26,613.98,0.6318,0.40163,0.9201,0.83367,0.79064,0.85517,0.64316,1.21362,1.20959,1.80757,0.0007625,0.0007625,0.0007625
27,637.822,0.61527,0.39153,0.91074,0.7437,0.74384,0.8072,0.59798,1.15391,1.39017,1.69962,0.000713,0.000713,0.000713
28,661.506,0.61608,0.38781,0.90823,0.84728,0.74959,0.84884,0.64606,1.10807,1.2495,1.65399,0.0006635,0.0006635,0.0006635
29,685.243,0.60455,0.37689,0.90509,0.85495,0.75005,0.86072,0.65106,1.09097,1.14002,1.66509,0.000614,0.000614,0.000614
30,709.096,0.60399,0.36718,0.90119,0.86882,0.77504,0.85861,0.65739,1.09038,1.1711,1.65433,0.0005645,0.0005645,0.0005645
31,734.873,0.63028,0.52437,0.95805,0.82603,0.78489,0.83753,0.64744,1.21385,1.38093,1.7675,0.000515,0.000515,0.000515
32,758.3,0.56636,0.35645,0.88993,0.86246,0.7619,0.85736,0.66214,1.07532,1.15026,1.63309,0.0004655,0.0004655,0.0004655
33,781.827,0.56311,0.34843,0.89337,0.84974,0.74384,0.83513,0.65323,1.07374,1.27247,1.6447,0.000416,0.000416,0.000416
34,805.236,0.54883,0.33461,0.88725,0.8327,0.756,0.84855,0.65876,1.08286,1.07763,1.64718,0.0003665,0.0003665,0.0003665
35,828.534,0.55605,0.3305,0.88606,0.85752,0.76098,0.84542,0.65616,1.02403,1.06879,1.58816,0.000317,0.000317,0.000317
36,851.727,0.5448,0.32462,0.88203,0.85237,0.79166,0.86052,0.67386,0.98786,0.98833,1.55065,0.0002675,0.0002675,0.0002675
37,875.254,0.54743,0.43609,0.90855,0.85611,0.78818,0.87356,0.68782,1.05634,1.05675,1.62235,0.000218,0.000218,0.000218
38,898.67,0.60313,0.56494,0.93809,0.86625,0.771,0.87218,0.69083,1.04069,1.03985,1.60407,0.0001685,0.0001685,0.0001685
39,922.146,0.52125,0.30139,0.8814,0.87106,0.80378,0.8857,0.70254,0.95756,0.8673,1.51998,0.000119,0.000119,0.000119
40,945.68,0.52028,0.35534,0.89182,0.87594,0.79995,0.88173,0.69708,0.97525,0.86992,1.5278,6.95e-05,6.95e-05,6.95e-05
