epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.7966,1.62613,2.27696,2.02943,0.5936,0.64103,0.64697,0.32046,1.84825,2.39744,2.06945,0.0001,0.0001,0.0001
2,173.301,1.52252,1.73367,1.75883,0.39351,0.48718,0.37658,0.18946,1.70471,3.51321,1.87117,0.000217822,0.000217822,0.000217822
3,257.019,1.45027,1.70938,1.78128,0.28017,0.41026,0.25435,0.10042,1.96795,3.06391,2.00612,0.000333268,0.000333268,0.000333268
4,340.12,1.32447,1.40807,1.65183,0.50155,0.38462,0.33815,0.11354,2.31732,2.80109,2.41103,0.000446338,0.000446338,0.000446338
5,424.315,1.47071,1.34762,1.78496,0.48957,0.30769,0.26962,0.09911,2.44923,2.9832,2.47689,0.000557032,0.000557032,0.000557032
6,507.726,1.49838,1.50535,1.8139,0.18458,0.33333,0.12567,0.0539,2.61437,3.5443,2.93096,0.00066535,0.00066535,0.00066535
7,590.858,1.57775,1.71626,1.84375,0.11168,0.25641,0.05814,0.01598,2.73488,7.19451,3.14733,0.000771292,0.000771292,0.000771292
8,745.136,1.54595,1.65511,1.78633,0.21076,0.35897,0.1507,0.04424,2.54477,9.1715,3.09842,0.000874858,0.000874858,0.000874858
9,899.262,1.73882,1.88967,2.04728,0.16083,0.35873,0.09432,0.0238,3.00073,6.72087,3.95357,0.000976048,0.000976048,0.000976048
10,1056.34,1.64762,1.88059,1.89127,0.15538,0.68868,0.17434,0.06351,2.27817,10.0897,2.93504,0.00107486,0.00107486,0.00107486
11,1490.92,1.69089,1.92449,2.00421,0.18295,0.58974,0.21271,0.07777,2.5321,11.247,3.75818,0.0011713,0.0011713,0.0011713
12,1886.61,1.65033,1.88904,1.89717,0.09673,0.41026,0.07141,0.02049,3.01087,12.5654,4.77256,0.00126536,0.00126536,0.00126536
13,2037.68,1.68739,1.74178,1.82208,0.16316,0.61538,0.22972,0.0593,2.47014,18.2109,3.87873,0.00135705,0.00135705,0.00135705
14,2189.76,1.59279,1.74248,1.84971,0.09136,0.38462,0.0827,0.02634,3.02362,23.0454,4.94743,0.00144636,0.00144636,0.00144636
15,2340.02,1.64812,1.47804,1.84655,0.09136,0.38462,0.0827,0.02634,3.02362,23.0454,4.94743,0.00153329,0.00153329,0.00153329
16,2493.46,1.66528,1.61046,1.84753,0.06667,0.07692,0.01618,0.00471,3.6832,58.8084,9.99656,0.00161785,0.00161785,0.00161785
17,2647.14,1.74182,1.60802,1.85634,0.0384,0.58974,0.0602,0.02396,2.87508,364.201,11.6939,0.0016832,0.0016832,0.0016832
18,2797.72,1.81579,1.69225,2.00562,0.06707,0.28205,0.03904,0.0092,3.63253,156.341,30.4983,0.0016634,0.0016634,0.0016634
19,2945.24,1.67271,1.88003,1.89004,0.06707,0.28205,0.03904,0.0092,3.63253,156.341,30.4983,0.0016436,0.0016436,0.0016436
20,3095.09,1.70915,1.71018,1.85551,0.06337,0.28205,0.06085,0.02744,3.19159,44.627,5.95151,0.0016238,0.0016238,0.0016238
21,3249.78,1.71693,1.67145,1.8795,0.11962,0.64103,0.09246,0.03002,2.6969,24.602,4.17777,0.001604,0.001604,0.001604
22,3405.2,1.65654,1.62778,1.87862,0.31356,0.33333,0.25514,0.09739,2.38827,4.62731,3.0135,0.0015842,0.0015842,0.0015842
23,3558.69,1.64218,1.48055,1.78982,0.31356,0.33333,0.25514,0.09739,2.38827,4.62731,3.0135,0.0015644,0.0015644,0.0015644
24,3708.5,1.55653,1.41045,1.76643,0.22746,0.33333,0.24274,0.09818,2.68319,3.44088,2.91289,0.0015446,0.0015446,0.0015446
25,3860.48,1.66226,1.51327,1.82966,0.43962,0.33333,0.33115,0.12493,2.57436,2.92467,2.72767,0.0015248,0.0015248,0.0015248
26,4012.85,1.57718,1.38245,1.73895,0.28246,0.35897,0.2636,0.10053,2.57681,2.78636,2.72855,0.001505,0.001505,0.001505
27,4165.45,1.59088,1.35845,1.74343,0.28246,0.35897,0.2636,0.10053,2.57681,2.78636,2.72855,0.0014852,0.0014852,0.0014852
28,4316.57,1.55022,1.38962,1.7938,0.42174,0.35897,0.25556,0.0785,2.42837,3.27797,2.50678,0.0014654,0.0014654,0.0014654
29,4473.99,1.50018,1.30917,1.69102,0.29817,0.35897,0.2974,0.10636,2.49625,2.90594,2.69391,0.0014456,0.0014456,0.0014456
30,4630,1.56605,1.38993,1.7395,0.38712,0.41026,0.36491,0.13158,2.39169,3.28093,2.6118,0.0014258,0.0014258,0.0014258
31,4786.74,1.42016,1.26028,1.64628,0.38712,0.41026,0.36491,0.13158,2.39169,3.28093,2.6118,0.001406,0.001406,0.001406
32,4942.87,1.47871,1.25838,1.76867,0.31914,0.30769,0.21543,0.08483,2.50164,2.88176,2.66036,0.0013862,0.0013862,0.0013862
33,5097.64,1.53721,1.34589,1.81351,0.4471,0.28205,0.2277,0.0871,2.50408,2.7525,2.64759,0.0013664,0.0013664,0.0013664
34,5248.87,1.4578,1.22495,1.64269,0.45807,0.5641,0.45878,0.17169,2.38303,2.72092,2.69537,0.0013466,0.0013466,0.0013466
35,5401.99,1.43062,1.24538,1.62984,0.45807,0.5641,0.45878,0.17169,2.38303,2.72092,2.69537,0.0013268,0.0013268,0.0013268
36,5555.92,1.35163,1.09457,1.60615,0.41492,0.5641,0.41444,0.13908,2.46279,2.74815,2.76904,0.001307,0.001307,0.001307
37,5710.45,1.35339,1.20236,1.66367,0.32536,0.35897,0.24572,0.07267,2.42756,2.73005,2.72119,0.0012872,0.0012872,0.0012872
38,5860.77,1.47462,1.23251,1.69015,0.28582,0.33333,0.22006,0.07026,2.41101,2.68147,2.60587,0.0012674,0.0012674,0.0012674
39,6012.93,1.39999,1.2478,1.66564,0.28582,0.33333,0.22006,0.07026,2.41101,2.68147,2.60587,0.0012476,0.0012476,0.0012476
40,6169.39,1.37117,1.14064,1.59724,0.58623,0.4359,0.43384,0.17248,2.42325,1.71324,2.56249,0.0012278,0.0012278,0.0012278
41,6354.46,1.38591,1.0804,1.65443,0.6377,0.64103,0.61204,0.25427,2.28138,1.80552,2.54842,0.001208,0.001208,0.001208
42,6491.22,1.32649,1.20839,1.61456,0.62578,0.51282,0.57451,0.24845,2.26903,1.9161,2.50793,0.0011882,0.0011882,0.0011882
43,6634.49,1.3508,1.25187,1.66982,0.62578,0.51282,0.57451,0.24845,2.26903,1.9161,2.50793,0.0011684,0.0011684,0.0011684
44,6780.52,1.32524,1.01915,1.53778,0.51635,0.51282,0.50659,0.22483,2.28877,1.95952,2.41273,0.0011486,0.0011486,0.0011486
45,6924.56,1.21135,1.01514,1.50919,0.65775,0.35897,0.4779,0.17937,2.49098,1.88048,2.64756,0.0011288,0.0011288,0.0011288
46,7058.3,1.20789,1.0498,1.50558,0.38135,0.51282,0.34658,0.11933,2.47991,2.10857,2.71371,0.001109,0.001109,0.001109
47,7203.17,1.29715,1.0354,1.54043,0.38135,0.51282,0.34658,0.11933,2.47991,2.10857,2.71371,0.0010892,0.0010892,0.0010892
48,7347.77,1.42719,1.2112,1.70553,0.30175,0.56513,0.36841,0.15072,2.39963,2.24977,2.5677,0.0010694,0.0010694,0.0010694
49,7484.59,1.26694,1.04537,1.57186,0.46359,0.48753,0.44031,0.17641,2.25286,2.37215,2.36972,0.0010496,0.0010496,0.0010496
50,7614.08,1.24909,1.07137,1.55451,0.37726,0.59029,0.43567,0.18379,2.17522,2.0322,2.34967,0.0010298,0.0010298,0.0010298
51,7737.77,1.34959,1.06363,1.55525,0.37726,0.59029,0.43567,0.18379,2.17522,2.0322,2.34967,0.00101,0.00101,0.00101
52,7861,1.25906,1.0006,1.49604,0.49543,0.65472,0.49966,0.2172,2.24508,1.74079,2.42787,0.0009902,0.0009902,0.0009902
53,7963,1.17523,0.97516,1.44169,0.56318,0.66667,0.59983,0.23358,2.36236,1.68581,2.57064,0.0009704,0.0009704,0.0009704
54,8077.98,1.22432,0.99144,1.55561,0.63236,0.5641,0.59661,0.24033,2.33532,1.48024,2.43653,0.0009506,0.0009506,0.0009506
55,8190.85,1.13834,0.89705,1.47447,0.63236,0.5641,0.59661,0.24033,2.33532,1.48024,2.43653,0.0009308,0.0009308,0.0009308
56,8300.49,1.15377,0.91446,1.45982,0.52306,0.5641,0.5239,0.20778,2.33937,1.55955,2.27165,0.000911,0.000911,0.000911
57,8413.54,1.22104,0.89592,1.47877,0.55314,0.5641,0.52564,0.19885,2.2683,1.53327,2.21243,0.0008912,0.0008912,0.0008912
58,8513.88,1.20126,0.91943,1.50852,0.71354,0.51282,0.66979,0.23513,2.23262,1.53671,2.17695,0.0008714,0.0008714,0.0008714
59,8616.78,1.08375,0.86463,1.46893,0.71354,0.51282,0.66979,0.23513,2.23262,1.53671,2.17695,0.0008516,0.0008516,0.0008516
60,8718.78,1.16246,0.90404,1.47612,0.54097,0.64103,0.61205,0.24116,2.18899,1.53923,2.23216,0.0008318,0.0008318,0.0008318
61,8825.89,1.07518,0.85553,1.42085,0.67552,0.64059,0.67225,0.25345,2.20251,1.42412,2.3463,0.000812,0.000812,0.000812
62,8918.25,1.18287,0.87008,1.45423,0.6147,0.69548,0.61693,0.24466,2.28556,1.42895,2.37943,0.0007922,0.0007922,0.0007922
63,9016.99,1.17789,0.8783,1.49661,0.6147,0.69548,0.61693,0.24466,2.28556,1.42895,2.37943,0.0007724,0.0007724,0.0007724
64,9124.57,1.10535,0.85638,1.47085,0.51169,0.69868,0.5659,0.23394,2.29805,1.47047,2.3325,0.0007526,0.0007526,0.0007526
65,9224.39,1.1071,0.83755,1.46809,0.55683,0.77327,0.60732,0.24815,2.28481,1.4267,2.3248,0.0007328,0.0007328,0.0007328
66,9324.19,1.10197,0.86595,1.46195,0.46559,0.62561,0.51868,0.21321,2.4205,1.7062,2.43867,0.000713,0.000713,0.000713
67,9420.35,1.07445,0.84186,1.40911,0.46559,0.62561,0.51868,0.21321,2.4205,1.7062,2.43867,0.0006932,0.0006932,0.0006932
68,9528.65,1.15106,0.83962,1.51319,0.38996,0.35897,0.3501,0.13924,2.62522,2.29644,2.65506,0.0006734,0.0006734,0.0006734
69,9628.93,1.08057,0.80878,1.35458,0.45238,0.33333,0.31085,0.12982,2.68996,2.40049,2.71659,0.0006536,0.0006536,0.0006536
70,9711.63,1.03479,0.80859,1.41859,0.48808,0.33333,0.3585,0.13794,2.55312,2.30936,2.5656,0.0006338,0.0006338,0.0006338
71,9792.66,1.03988,0.80889,1.39347,0.48808,0.33333,0.3585,0.13794,2.55312,2.30936,2.5656,0.000614,0.000614,0.000614
72,9878.45,1.04616,0.7743,1.39094,0.60834,0.30769,0.42501,0.16607,2.35565,2.13528,2.45485,0.0005942,0.0005942,0.0005942
73,9978.86,0.99668,0.88121,1.34777,0.37508,0.51282,0.46281,0.20954,2.23656,1.85912,2.36503,0.0005744,0.0005744,0.0005744
74,10081.3,1.05762,0.86278,1.45567,0.61041,0.41026,0.49949,0.24017,2.15988,1.80177,2.34741,0.0005546,0.0005546,0.0005546
75,10171.6,1.05262,0.85423,1.38857,0.61041,0.41026,0.49949,0.24017,2.15988,1.80177,2.34741,0.0005348,0.0005348,0.0005348
76,10253.3,0.96586,0.79677,1.38501,0.61192,0.35897,0.45765,0.20416,2.21789,1.89114,2.4102,0.000515,0.000515,0.000515
77,10338.8,0.95783,0.76069,1.32497,0.66019,0.35897,0.41438,0.15984,2.38289,2.17803,2.5517,0.0004952,0.0004952,0.0004952
78,10419.7,1.00662,0.7943,1.40884,0.3821,0.36481,0.3458,0.119,2.45765,2.49492,2.59038,0.0004754,0.0004754,0.0004754
79,10508.4,0.97927,0.7638,1.3999,0.3821,0.36481,0.3458,0.119,2.45765,2.49492,2.59038,0.0004556,0.0004556,0.0004556
80,10616,0.92589,0.69318,1.31893,0.33467,0.30769,0.29763,0.10995,2.42922,2.82363,2.51084,0.0004358,0.0004358,0.0004358
81,10701.1,0.9802,0.79233,1.33299,0.35459,0.35231,0.36794,0.14016,2.4311,2.53797,2.46705,0.000416,0.000416,0.000416
82,10797.7,0.89646,0.74198,1.30228,0.5395,0.46154,0.49336,0.17135,2.39836,2.19578,2.44982,0.0003962,0.0003962,0.0003962
83,10881.6,0.85892,0.68725,1.25403,0.5395,0.46154,0.49336,0.17135,2.39836,2.19578,2.44982,0.0003764,0.0003764,0.0003764
84,10967.6,0.93012,0.67958,1.29243,0.61742,0.41026,0.49615,0.19329,2.39169,2.07595,2.47457,0.0003566,0.0003566,0.0003566
85,11051.3,0.91487,0.70507,1.31957,0.71528,0.41026,0.50601,0.21496,2.3486,2.00992,2.44258,0.0003368,0.0003368,0.0003368
86,11132.7,0.90448,0.65067,1.24138,0.66979,0.41026,0.51121,0.22346,2.30636,1.86211,2.40957,0.000317,0.000317,0.000317
