epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.258,1.32438,1.83149,1.49937,0.80371,0.88235,0.92149,0.71369,0.82882,1.82608,1.22854,0.00014,0.00014,0.00014
2,338.891,1.1215,0.90306,1.23501,0.59318,0.73529,0.6891,0.45951,1.15328,10.7446,1.66595,0.00028812,0.00028812,0.00028812
3,510.535,1.16084,0.88539,1.28843,0.45332,0.44118,0.41782,0.25482,1.69494,5.48877,2.10298,0.000423568,0.000423568,0.000423568
4,669.522,1.19613,1.12452,1.36086,0.61834,0.67647,0.60999,0.24877,1.85376,2.55506,2.27633,0.000546344,0.000546344,0.000546344
5,831.144,1.10499,0.91965,1.25347,0.07167,0.32353,0.05498,0.02904,1.54302,7.4294,2.30299,0.000656448,0.000656448,0.000656448
6,1013.66,1.14434,0.87796,1.27112,0.69257,0.61765,0.6997,0.32869,1.65143,1.99864,3.5583,0.00075388,0.00075388,0.00075388
7,1189.53,1.20153,0.89052,1.33353,0.3354,0.47059,0.37497,0.162,2.05753,4.72048,3.8845,0.00083864,0.00083864,0.00083864
8,1377.78,1.23504,1.01602,1.40021,0.25682,0.61765,0.28152,0.13438,2.13299,3.68982,3.71445,0.000910728,0.000910728,0.000910728
9,1575.12,1.20118,0.95839,1.32414,0.65472,0.52941,0.48906,0.25084,1.94949,2.53992,3.21318,0.000970144,0.000970144,0.000970144
10,1763.98,1.17312,1.09401,1.34261,0.08054,0.58824,0.07996,0.03788,1.908,8.77455,2.82946,0.00101689,0.00101689,0.00101689
11,1938.08,1.1332,1.10246,1.3388,0.32124,0.52941,0.32022,0.14734,1.85246,3.82398,2.76444,0.00105096,0.00105096,0.00105096
12,2111.12,1.2,1.05824,1.33465,0.57057,0.64706,0.66378,0.34545,1.5854,2.53986,2.38889,0.00107236,0.00107236,0.00107236
13,2295.24,1.15174,0.86126,1.30679,0.72067,0.64706,0.71147,0.43584,1.31129,2.15167,1.9907,0.0010496,0.0010496,0.0010496
14,2474.95,1.19617,0.89588,1.36181,0.82482,0.70588,0.78495,0.42508,1.51198,2.00237,2.13049,0.0009704,0.0009704,0.0009704
15,2632.08,1.16578,0.84698,1.33736,0.72122,0.83719,0.85138,0.50029,1.38909,1.49673,1.98843,0.0008912,0.0008912,0.0008912
16,2796.38,1.05212,0.84309,1.28478,0.81461,0.67647,0.83812,0.51729,1.29125,1.34799,1.91836,0.000812,0.000812,0.000812
17,2947.84,1.02021,0.72737,1.24313,0.74989,0.82353,0.83063,0.53717,1.10013,1.1794,1.67829,0.0007328,0.0007328,0.0007328
18,3103.66,0.98684,0.68445,1.21022,0.78812,0.87537,0.84641,0.53034,1.13926,1.04145,1.73666,0.0006536,0.0006536,0.0006536
19,3257.54,0.94535,0.67616,1.19948,0.85923,0.88235,0.90582,0.57284,1.23675,1.10689,1.82568,0.0005744,0.0005744,0.0005744
20,3438.59,0.91892,0.60229,1.14377,0.75861,0.97059,0.89995,0.57242,1.22462,1.01743,1.79402,0.0004952,0.0004952,0.0004952
21,3603.31,0.90454,0.57804,1.18569,0.78367,0.97059,0.9024,0.62873,1.0684,0.93362,1.60184,0.000416,0.000416,0.000416
22,3792.03,0.91181,0.58172,1.16658,0.83493,0.94118,0.92368,0.66738,0.94235,0.87962,1.47338,0.0003368,0.0003368,0.0003368
23,3997.27,0.86557,0.54859,1.13689,0.86142,0.91418,0.93993,0.72555,0.86636,0.80383,1.40352,0.0002576,0.0002576,0.0002576
24,4213.85,0.88415,0.54958,1.16407,0.87473,0.94118,0.9543,0.73351,0.88909,0.75572,1.40251,0.0001784,0.0001784,0.0001784
25,4446.11,0.85414,0.53616,1.1324,0.86818,0.97059,0.95707,0.73432,0.90506,0.70553,1.38914,9.92e-05,9.92e-05,9.92e-05
